Location;White;Black/African American;Hispanic/Latino;American Indian/Alaska Native;Asian;Native Hawaiian/Other Pacific Islander;Multiple races;Total;Footnotes
United States;9055;15409;9574;206;731;65;884;35924;1
Alabama;153;458;14;1;0;0;14;640;
Alaska;12;5;4;6;0;0;0;27;
Arizona;247;130;325;38;13;2;10;765;
Arkansas;121;137;17;2;5;1;2;285;
California;1032;716;2131;19;233;12;87;4230;
Colorado;202;72;169;5;10;2;0;460;
Connecticut;55;92;51;0;7;0;2;207;
Delaware;22;61;8;0;0;0;2;93;
District of Columbia;20;190;27;0;4;0;6;247;
Florida;1018;1698;1582;8;42;2;52;4402;
Georgia;333;1684;223;1;19;2;53;2315;
Hawaii;12;1;13;1;18;12;8;65;
Idaho;15;2;9;0;0;0;1;27;
Illinois;231;643;298;2;26;1;37;1238;
Indiana;185;214;69;0;4;2;11;485;
Iowa;47;32;12;1;2;2;4;100;
Kansas;61;38;26;1;3;0;3;132;
Kentucky;194;88;24;0;1;0;7;314;
Louisiana;205;585;82;6;4;0;5;887;
Maine;15;11;2;0;1;0;1;30;
Maryland;100;677;102;0;18;0;29;926;
Massachusetts;174;171;146;0;19;0;26;536;
Michigan;217;387;53;1;10;0;7;675;
Minnesota;108;98;38;11;11;0;8;274;
Mississippi;87;365;19;1;0;1;4;477;
Missouri;187;236;45;1;5;1;14;489;
Montana;21;0;3;1;0;0;1;26;
Nebraska;36;21;16;2;2;2;2;81;
Nevada;156;173;152;2;17;7;3;510;
New Hampshire;17;4;5;0;4;0;0;30;
New Jersey;178;420;384;1;24;0;28;1035;
New Mexico;31;9;80;23;1;0;3;147;
New York;347;956;855;2;66;0;106;2332;
North Carolina;301;849;159;16;14;5;26;1370;
North Dakota;15;17;4;0;0;0;0;36;
Ohio;403;467;60;0;8;0;37;975;
Oklahoma;122;85;45;19;5;0;33;309;
Oregon;130;22;34;5;4;0;3;198;
Pennsylvania;299;477;174;1;14;0;24;989;
Rhode Island;35;16;16;0;1;1;3;72;
South Carolina;169;457;45;2;3;0;12;688;
South Dakota;12;4;4;12;0;0;1;33;
Tennessee;266;402;75;3;7;0;15;768;
Texas;802;1485;1680;2;65;4;138;4176;
Utah;69;9;46;3;3;3;3;136;
Vermont;7;2;1;0;1;0;0;11;
Virginia;180;528;88;3;10;0;18;827;
Washington;214;105;118;2;24;3;19;485;
West Virginia;119;14;3;0;0;0;8;144;
Wisconsin;66;96;33;2;3;0;7;207;
Wyoming;7;0;5;0;0;0;1;13;
American Samoa;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;
Guam;N/A;N/A;N/A;N/A;N/A;N/A;N/A;10;
Northern Mariana Islands;N/A;N/A;N/A;N/A;N/A;N/A;N/A;2;
Puerto Rico;6;1;376;0;0;0;0;383;
U.S. Virgin Islands;N/A;N/A;N/A;N/A;N/A;N/A;N/A;7;
